image,model,fg_fraction,soft_edge_fraction,components,holes,consensus_iou
1816d85d-17c0-4b4c-b96f-6668e38dd868.jpeg,birefnet,0.1848,0.00715,1,2,0.9844
1816d85d-17c0-4b4c-b96f-6668e38dd868.jpeg,birefnet-lite,0.1896,0.00766,1,2,0.978
1816d85d-17c0-4b4c-b96f-6668e38dd868.jpeg,inspyrenet,0.1857,0.01545,1,2,0.9918
1816d85d-17c0-4b4c-b96f-6668e38dd868.jpeg,isnet,0.1876,0.01506,1,2,0.9908
1816d85d-17c0-4b4c-b96f-6668e38dd868.jpeg,u2net,0.1885,0.01328,1,2,0.9861
291e88c5-3d23-4344-af53-e3e865c22165.jpeg,birefnet,0.9182,0.01748,2,3,0.0171
291e88c5-3d23-4344-af53-e3e865c22165.jpeg,birefnet-lite,0.7217,0.05062,1,4,0.0217
291e88c5-3d23-4344-af53-e3e865c22165.jpeg,inspyrenet,0.5996,0.60889,28,31,0.0262
291e88c5-3d23-4344-af53-e3e865c22165.jpeg,isnet,0.0083,0.00692,1,0,0.0141
291e88c5-3d23-4344-af53-e3e865c22165.jpeg,u2net,0.0154,0.08755,3,1,0.026
6b1e313f-64ad-4371-954b-6331f6ad9927.jpeg,birefnet,0.176,0.01507,1,0,0.9871
6b1e313f-64ad-4371-954b-6331f6ad9927.jpeg,birefnet-lite,0.1747,0.01242,1,0,0.9812
6b1e313f-64ad-4371-954b-6331f6ad9927.jpeg,inspyrenet,0.1744,0.01367,1,0,0.9929
6b1e313f-64ad-4371-954b-6331f6ad9927.jpeg,isnet,0.1746,0.02369,1,0,0.9906
6b1e313f-64ad-4371-954b-6331f6ad9927.jpeg,u2net,0.1718,0.02415,1,2,0.9613
6ca04e8a-33ad-4378-9409-122d13513596.jpeg,birefnet,0.3174,0.02104,1,1,0.9663
6ca04e8a-33ad-4378-9409-122d13513596.jpeg,birefnet-lite,0.3286,0.02247,1,0,0.9619
6ca04e8a-33ad-4378-9409-122d13513596.jpeg,inspyrenet,0.2877,0.03867,2,1,0.8707
6ca04e8a-33ad-4378-9409-122d13513596.jpeg,isnet,0.3319,0.02691,1,0,0.9496
6ca04e8a-33ad-4378-9409-122d13513596.jpeg,u2net,0.3293,0.02464,1,0,0.9601
7bcac3f8-131c-4c27-ba72-0c10b69e14e8.jpeg,birefnet,0.6935,0.02474,1,0,0.9936
7bcac3f8-131c-4c27-ba72-0c10b69e14e8.jpeg,birefnet-lite,0.7335,0.0368,2,0,0.9211
7bcac3f8-131c-4c27-ba72-0c10b69e14e8.jpeg,inspyrenet,0.6927,0.0321,2,3,0.9912
7bcac3f8-131c-4c27-ba72-0c10b69e14e8.jpeg,isnet,0.6813,0.25488,5,2,0.9721
7bcac3f8-131c-4c27-ba72-0c10b69e14e8.jpeg,u2net,0.694,0.02587,1,0,0.9899
a4a1cece-21bc-4bc4-b445-2eaa42bb44f1.jpeg,birefnet,0.2961,0.00544,1,0,0.9984
a4a1cece-21bc-4bc4-b445-2eaa42bb44f1.jpeg,birefnet-lite,0.2964,0.00503,1,0,0.9988
a4a1cece-21bc-4bc4-b445-2eaa42bb44f1.jpeg,inspyrenet,0.2972,0.00576,1,0,0.9969
a4a1cece-21bc-4bc4-b445-2eaa42bb44f1.jpeg,isnet,0.2965,0.00502,1,0,0.9989
a4a1cece-21bc-4bc4-b445-2eaa42bb44f1.jpeg,u2net,0.2972,0.01172,1,0,0.9958
a4b9898c-e035-4a8a-9bfb-0b7f969b3c97.jpeg,birefnet,0.2082,0.00953,1,0,0.9931
a4b9898c-e035-4a8a-9bfb-0b7f969b3c97.jpeg,birefnet-lite,0.2086,0.00884,1,0,0.9945
a4b9898c-e035-4a8a-9bfb-0b7f969b3c97.jpeg,inspyrenet,0.2084,0.01042,1,0,0.9949
a4b9898c-e035-4a8a-9bfb-0b7f969b3c97.jpeg,isnet,0.209,0.01404,1,0,0.9927
