model,image,ms,peak_vram_mib,fg_fraction,soft_edge_fraction,holes
birefnet,1816d85d-17c0-4b4c-b96f-6668e38dd868.jpeg,1124.0,1615,0.185,0.0072,2
birefnet,291e88c5-3d23-4344-af53-e3e865c22165.jpeg,656.0,1615,0.918,0.0175,3
birefnet,6b1e313f-64ad-4371-954b-6331f6ad9927.jpeg,618.0,1615,0.176,0.0151,0
birefnet,6ca04e8a-33ad-4378-9409-122d13513596.jpeg,616.0,1615,0.317,0.021,1
birefnet,7bcac3f8-131c-4c27-ba72-0c10b69e14e8.jpeg,614.0,1615,0.694,0.0247,0
birefnet,a4a1cece-21bc-4bc4-b445-2eaa42bb44f1.jpeg,631.0,1615,0.296,0.0054,0
birefnet,a4b9898c-e035-4a8a-9bfb-0b7f969b3c97.jpeg,616.0,1615,0.208,0.0095,0
birefnet,a96a34f2-9314-4202-9223-83686bc2a47d.jpeg,616.0,1615,0.247,0.0182,2
birefnet,aaacb98e-57b1-458f-bfe2-f348bcde1ee2.jpeg,616.0,1615,0.577,0.0406,53
birefnet,b4b717b2-c087-43a2-beb3-ba37ad5a9d8b.jpeg,616.0,1615,0.57,0.0146,0
birefnet,eab76f8f-20cf-416e-8c94-235e8762bb4d.jpeg,616.0,1615,0.39,0.0158,0
birefnet,brass-bidri-specular-01.jpg,638.0,1615,0.594,0.0067,0
birefnet,brass-bidri-specular-02.jpg,636.0,1615,0.182,0.0033,0
birefnet,brass-bidri-specular-04.jpg,637.0,1615,0.372,0.006,0
birefnet,brass-diya-specular-01.jpg,640.0,1615,0.374,0.0125,5
birefnet,brass-diya-specular-02.jpg,632.0,1615,0.152,0.0189,0
birefnet,brass-lamp-specular-01.jpg,634.0,1615,0.247,0.0086,1
birefnet,brass-vessel-specular-01.jpg,634.0,1615,0.286,0.0042,0
birefnet,brass-vessel-specular-03.jpg,636.0,1615,0.222,0.004,0
birefnet,pottery-blackware-darkfloor-03.jpg,628.0,1615,0.267,0.007,1
birefnet,pottery-blackware-darkfloor-04.jpg,629.0,1615,0.366,0.008,1
birefnet,pottery-darkclay-darkfloor-01.jpg,636.0,1615,0.448,0.0062,0
birefnet,pottery-darkclay-darkfloor-02.jpg,623.0,1615,0.4,0.0048,0
birefnet,pottery-darkclay-darkfloor-04.jpg,635.0,1615,0.34,0.0074,1
